175,03IWB4JYRUE2LBPMN5X1
130,0JOJRS92O0TPMJQDTNHC
165,0S8PT84E5DU0ZMX4OD91
178,1UPUX15HK586V8Q1DK4W
166,216PENQ5527G3YQ4Z4DE
157,3XIVCTHI5M7QAWIS7UL0
9,5NITCM6O7M3VYTFUOLGB
27,63BTNYH7OJ7XKBNYOV49
155,6H2NCKWC0HFH00JGYY7R
161,7F2PQX5LVC1XV9ZYTRR3
50,7KYQ1KSW9U7KWW9BW9CD
45,89E536S85K7696K4824L
35,8BKR52AIQ3SPVHAM2T2C
99,8M9AGRKOW33JY9JC6P9E
149,A9N0QQ8IFFZ0Z89LYNFI
118,AOSXW13N9RQZ7CRZ7MJS
26,AVXDKKCKEB1EX8QABF7C
82,B9MBJBCG088X5HEQFYBP
44,BCYCKRK4YC1ACGOQ1771
176,E8G8V81FIYVERSUPKPJY
111,EJGRJWSOJBATCY9YF93R
53,ET98RNOX26UAX013JLES
47,EZRXQHXYJZ4AIZ15AFFM
5,FEFOFQUHYNZ3WONZRETF
194,FJQSR2P1Y2T2XU5RK63T
96,FWRUHOKDX83UY4CXPGKT
71,GKYGS8K1MQCHD15NCV9H
49,GWII2VNNDB5U74ZPYUUC
124,H6I4HVYJH8DFEEPM4PCT
158,JO0G95ECU0SBO7N2QOVD
151,K3ZC88XILS6Y9WPJWAUI
74,K7OOLNPK60WUC5PC6L0X
76,KWOA6I12TE85P59HY272
28,LGYI857RG7FXVFVGB7E3
159,LUS34SYEYV7H1CNKXF8M
41,N5DAV420EZMYJ86MM2RF
18,NPAIUS139K2A5T2IQZY9
123,OPIB1TZHIT8QNYBZ1P9O
129,P299MVR0XGG51UWPSNKR
180,PG8BUHZGV31HO9YMICWC
167,QMWHZO5E67APYHM3JL5M
37,R2DX08BDJE46A0NU6ZT3
148,RS00DAAA04UVGG3WALGS
72,SIJP60T90447282IAP0G
22,TF5E6V73PCP3C18OQIQ8
95,TJ9DYTTIC1IEGOGDGKBG
91,TUB8FKBT1F0HDJC4E5JJ
84,VS7FCHNSK6UBYHBG7Q6A
171,W10IQ4YD09M01A8WJOHP
152,WMDQP6JCDDU6U8LEWVZY
128,XW8XLJ2K9O5V12LLT4Q9
90,Y3POCL0TOB48OA23PP4X
25,YQ4CBEH852FAR5AGTBS2
188,YQYXB1LM2SNGPBTHHJ1D
62,YWBRAOI6HLSTYKMIFQ8E
115,YYSH3K45WAXIY7EZHKIE
119,ZDPTZFSGG1ZQEOK4ORRB
199,ZEA2Y4H4NX6JST0J3IY8
